cohort,dataset,record_id,identifier_kind,identifier_value,openalex_queryable,openalex_found,referenced_works_available,related_works_available,referenced_works_count,related_works_count,error
clef,CLEF_CD009069,pubmed:24520841,pmid,24520841,True,True,True,True,16,10,
clef,CLEF_CD006468,pubmed:20544063,pmid,20544063,True,True,False,False,0,0,
clef,CLEF_CD010038,pubmed:21158734,pmid,21158734,True,True,False,True,0,10,
clef,CLEF_CD010038,pubmed:6710200,pmid,6710200,True,True,False,True,0,10,
clef,CLEF_CD010038,pubmed:25038380,pmid,25038380,True,True,True,True,15,10,
clef,CLEF_CD009642,pubmed:9215018,pmid,9215018,True,True,True,True,7,10,
clef,CLEF_CD009069,pubmed:19099026,pmid,19099026,True,True,True,True,42,20,
clef,CLEF_CD012069,pubmed:9394930,pmid,9394930,True,True,True,True,2,10,
clef,CLEF_CD007867,pubmed:25773579,pmid,25773579,True,True,True,True,11,10,
clef,CLEF_CD012455,pubmed:12594136,pmid,12594136,True,True,True,True,39,10,
clef,CLEF_CD011768,pubmed:12422765,pmid,12422765,True,True,False,True,0,10,
clef,CLEF_CD006468,pubmed:22605845,pmid,22605845,True,True,True,True,13,10,
clef,CLEF_CD006468,pubmed:6455217,pmid,6455217,True,True,True,True,45,10,
clef,CLEF_CD009069,pubmed:27265075,pmid,27265075,True,True,True,True,123,10,
clef,CLEF_CD010038,pubmed:27378094,pmid,27378094,True,True,True,True,104,10,
clef,CLEF_CD010038,pubmed:9618966,pmid,9618966,True,True,False,True,0,10,
clef,CLEF_CD011768,pubmed:7671244,pmid,7671244,True,True,True,True,35,10,
clef,CLEF_CD006468,pubmed:17878131,pmid,17878131,True,True,True,True,33,10,
clef,CLEF_CD012069,pubmed:18680661,pmid,18680661,True,True,True,True,16,10,
clef,CLEF_CD010038,pubmed:15964309,pmid,15964309,True,True,True,True,22,10,
cohen,Cohen_Triptans,pubmed:11079284,pmid,11079284,True,True,True,True,23,10,
cohen,Cohen_SkeletalMuscleRelaxants,pubmed:7655137,pmid,7655137,True,True,True,True,42,10,
cohen,Cohen_CalciumChannelBlockers,pubmed:11786162,pmid,11786162,True,True,True,True,6,10,
cohen,Cohen_Statins,pubmed:10953258,pmid,10953258,True,True,True,True,31,10,
cohen,Cohen_Opiods,pubmed:10699770,pmid,10699770,True,True,True,True,12,10,
cohen,Cohen_ACEInhibitors,pubmed:10535720,pmid,10535720,True,True,True,True,61,10,
cohen,Cohen_BetaBlockers,pubmed:11113722,pmid,11113722,True,True,True,True,20,10,
cohen,Cohen_SkeletalMuscleRelaxants,pubmed:8019182,pmid,8019182,True,True,True,True,3,10,
cohen,Cohen_OralHypoglycemics,pubmed:8044938,pmid,8044938,True,True,True,True,55,10,
cohen,Cohen_Opiods,pubmed:10670264,pmid,10670264,True,True,False,True,0,10,
cohen,Cohen_BetaBlockers,pubmed:10835905,pmid,10835905,True,True,False,True,0,10,
cohen,Cohen_CalciumChannelBlockers,pubmed:10999574,pmid,10999574,True,True,False,True,0,10,
cohen,Cohen_OralHypoglycemics,pubmed:12401757,pmid,12401757,True,True,True,True,24,10,
cohen,Cohen_ADHD,pubmed:9718222,pmid,9718222,True,True,True,True,19,10,
cohen,Cohen_ADHD,pubmed:12888781,pmid,12888781,True,True,True,True,32,10,
cohen,Cohen_ProtonPumpInhibitors,pubmed:9398893,pmid,9398893,True,True,True,True,31,10,
cohen,Cohen_ADHD,pubmed:8672322,pmid,8672322,True,True,True,True,31,10,
cohen,Cohen_ProtonPumpInhibitors,pubmed:11683686,pmid,11683686,True,True,True,True,27,10,
cohen,Cohen_OralHypoglycemics,pubmed:9685916,pmid,9685916,True,True,True,True,8,10,
cohen,Cohen_NSAIDS,pubmed:12098171,pmid,12098171,True,True,True,True,27,10,
synergy,Smid_2020,https://openalex.org/W1971038356,openalex,W1971038356,True,True,True,True,73,10,
synergy,Brouwer_2019,https://openalex.org/W2790305815,openalex,W2790305815,True,True,True,True,55,10,
synergy,Walker_2018,https://openalex.org/W2004159030,openalex,W2004159030,True,True,True,True,20,10,
synergy,Bos_2018,https://openalex.org/W2745099450,openalex,W2745099450,True,True,True,True,38,10,
synergy,Brouwer_2019,https://openalex.org/W2140981442,openalex,W2140981442,True,True,True,True,21,10,
synergy,Wolters_2018,https://openalex.org/W1218896973,openalex,W1218896973,True,True,False,True,0,20,
synergy,Walker_2018,https://openalex.org/W2051917168,openalex,W2051917168,True,True,True,True,45,10,
synergy,van_Dis_2020,https://openalex.org/W2062894125,openalex,W2062894125,True,True,True,True,44,10,
synergy,Walker_2018,https://openalex.org/W2411447526,openalex,W2411447526,True,True,False,True,0,10,
synergy,Walker_2018,https://openalex.org/W2030328205,openalex,W2030328205,True,True,True,True,75,10,
synergy,Brouwer_2019,https://openalex.org/W2042358591,openalex,W2042358591,True,True,True,True,34,10,
synergy,Walker_2018,https://openalex.org/W1967212780,openalex,W1967212780,True,True,True,True,59,10,
synergy,Leenaars_2020,https://openalex.org/W2124496200,openalex,W2124496200,True,True,True,True,38,10,
synergy,Appenzeller-Herzog_2019,https://openalex.org/W2565498186,openalex,W2565498186,True,True,True,False,6,0,
synergy,Smid_2020,https://openalex.org/W2098862099,openalex,W2098862099,True,True,True,True,37,10,
synergy,Wassenaar_2017,https://openalex.org/W2052287190,openalex,W2052287190,True,True,True,True,11,10,
synergy,van_Dis_2020,https://openalex.org/W2755486708,openalex,W2755486708,True,True,True,True,76,10,
synergy,Wolters_2018,https://openalex.org/W2157893979,openalex,W2157893979,True,True,True,True,34,10,
synergy,Wassenaar_2017,https://openalex.org/W2413651223,openalex,W2413651223,True,True,True,True,1,10,
synergy,van_de_Schoot_2018,https://openalex.org/W2044313514,openalex,W2044313514,True,True,True,True,68,10,
